path,artifact_type,work_package_or_subject,created_or_updated_at,source_authority,foundation_business_evidence,customer_voice_platform_evidence,dataverse_platform_evidence,power_platform_governance_evidence,production_evidence,superseded_by_current_production,duplicate_of_canonical_artifact,foundation_repo_owned,enterprise_platform_relevance,action
artifacts/JM1_Foundation_Microsoft_Operating_Standard_v1.md,Standard candidate,Foundation Microsoft operating model,2026-08-13T02:16:48.785Z,Unapproved local FND-01 synthesis,YES,YES,YES,YES,NO,NO,NO,YES,YES,PRESERVE_EVIDENCE_HOLD
artifacts/JM1_Power_Platform_Governance_Standard_v1_1_Addendum_approval.json,Governance approval evidence,Enterprise Power Platform governance,2026-08-13T02:16:48.785Z,Enterprise governance evidence,NO,YES,YES,YES,NO,NO,NO,NO,YES,DEPENDENCY_ONLY
artifacts/fnd01_bp12_admin_holds_carried_forward.json,Dependency register,BP-12 platform administration holds,2026-08-13T02:16:48.785Z,Historical enterprise platform assessment,NO,YES,YES,YES,NO,PARTIAL,NO,NO,YES,DEPENDENCY_ONLY
artifacts/fnd01_command_center_fit.json,Platform-fit analysis,Model-driven command center,2026-08-13T02:16:48.785Z,Local design analysis,NO,NO,YES,YES,NO,NO,NO,NO,YES,DEPENDENCY_ONLY
artifacts/fnd01_communications_ownership.json,Ownership matrix,Foundation communications channels,2026-08-13T02:16:48.785Z,Mixed Foundation and enterprise design,YES,YES,YES,YES,NO,NO,NO,PARTIAL,YES,DEPENDENCY_ONLY
artifacts/fnd01_current_state_inventory.json,Historical inventory,FND-01 current-state inventory,2026-08-13T02:16:48.785Z,August local workspace observation,YES,YES,YES,YES,PARTIAL,YES,NO,PARTIAL,YES,SUPERSEDED_HISTORICAL
artifacts/fnd01_customer_service_fit.json,Platform-fit analysis,Dynamics Customer Service fit,2026-08-13T02:16:48.785Z,Local platform analysis,NO,NO,YES,YES,NO,NO,NO,NO,YES,DEPENDENCY_ONLY
artifacts/fnd01_customer_voice_fit.json,Customer Voice analysis,Customer Voice availability and proof,2026-08-13T02:16:48.785Z,August local workspace observation,YES,YES,YES,YES,NO,YES,NO,NO,YES,SUPERSEDED_HISTORICAL
artifacts/fnd01_donor_semantics.json,Foundation business model,Donor identity and relationship semantics,2026-08-13T02:16:48.785Z,Foundation business design,YES,NO,YES,NO,NO,NO,NO,YES,YES,PRESERVE_EVIDENCE_HOLD
artifacts/fnd01_event_model.json,Mixed business/platform model,Foundation event semantics,2026-08-13T02:16:48.785Z,Mixed Foundation and platform design,YES,NO,YES,YES,NO,NO,NO,PARTIAL,YES,PRESERVE_EVIDENCE_HOLD
artifacts/fnd01_final_closeout.json,Historical closeout,FND-01 completion claim,2026-08-13T02:16:48.785Z,August FND-01 synthesis,YES,YES,YES,YES,PARTIAL,YES,NO,PARTIAL,YES,SUPERSEDED_HISTORICAL
artifacts/fnd01_final_closeout.md,Historical closeout,FND-01 completion summary,2026-08-13T02:16:48.785Z,Markdown rendering of local closeout,YES,YES,YES,YES,PARTIAL,YES,YES,PARTIAL,YES,DUPLICATE_NO_ACTION
artifacts/fnd01_funding_opportunity_semantics.json,Foundation business model,Sponsorship and funding pipeline semantics,2026-08-13T02:16:48.785Z,Foundation business design,YES,NO,YES,NO,NO,NO,NO,YES,YES,PRESERVE_EVIDENCE_HOLD
artifacts/fnd01_gift_data_ownership.json,Financial/data boundary,Gift ledger and operational context ownership,2026-08-13T02:16:48.785Z,Mixed Foundation and enterprise finance design,YES,NO,YES,NO,NO,NO,NO,PARTIAL,YES,PRESERVE_EVIDENCE_HOLD
artifacts/fnd01_human_first_validation.json,Validation evidence,Human-first policy validation,2026-08-13T02:16:48.785Z,Local validation output,YES,NO,NO,NO,NO,NO,YES,YES,NO,DUPLICATE_NO_ACTION
artifacts/fnd01_implementation_evidence.json,Historical implementation evidence,FND-01 artifact wave,2026-08-13T02:16:48.785Z,August local workspace observation,YES,YES,YES,YES,PARTIAL,YES,NO,PARTIAL,YES,SUPERSEDED_HISTORICAL
artifacts/fnd01_intake_mapping.json,Mixed intake/platform mapping,Microsoft Forms to Dataverse routing,2026-08-13T02:16:48.785Z,Mixed Foundation and platform design,YES,NO,YES,YES,PARTIAL,NO,NO,PARTIAL,YES,DEPENDENCY_ONLY
artifacts/fnd01_journeys_fit.json,Platform-fit analysis,Customer Insights Journeys,2026-08-13T02:16:48.785Z,Enterprise platform design,NO,NO,YES,YES,NO,NO,NO,NO,YES,DEPENDENCY_ONLY
artifacts/fnd01_metrics_model.json,Foundation measurement model,Program and relationship metrics,2026-08-13T02:16:48.785Z,Foundation business design,YES,NO,YES,YES,NO,NO,NO,YES,YES,PRESERVE_EVIDENCE_HOLD
artifacts/fnd01_package_definition.json,Work-package definition,FND-01 scope and ownership model,2026-08-13T02:16:48.785Z,Foundation work-package evidence,YES,YES,YES,YES,NO,PARTIAL,NO,YES,YES,PRESERVE_EVIDENCE_HOLD
artifacts/fnd01_package_definition.md,Work-package summary,FND-01 scope summary,2026-08-13T02:16:48.785Z,Markdown summary of package JSON,YES,YES,YES,YES,NO,PARTIAL,YES,YES,YES,DUPLICATE_NO_ACTION
artifacts/fnd01_power_automate_optimization.json,Automation analysis,Power Automate inventory and future flows,2026-08-13T02:16:48.785Z,Enterprise platform design,NO,NO,YES,YES,NO,NO,NO,NO,YES,DEPENDENCY_ONLY
artifacts/fnd01_privacy_security_validation.json,Privacy design evidence,Foundation data visibility boundaries,2026-08-13T02:16:48.785Z,Mixed Foundation and enterprise privacy design,YES,YES,YES,YES,NO,NO,NO,PARTIAL,YES,DEPENDENCY_ONLY
artifacts/fnd01_program_model.json,Foundation business model,Foundation programs and minimum records,2026-08-13T02:16:48.785Z,Foundation business design,YES,NO,YES,NO,NO,NO,NO,YES,YES,PRESERVE_EVIDENCE_HOLD
artifacts/fnd01_public_link_validation.json,Link validation evidence,Productions URL validation,2026-08-13T02:16:48.785Z,August repository scan,YES,NO,NO,NO,PARTIAL,NO,YES,YES,NO,DUPLICATE_NO_ACTION
artifacts/fnd01_recipient_participant_semantics.json,Foundation business model,Recipient and participant semantics,2026-08-13T02:16:48.785Z,Foundation business design,YES,YES,YES,NO,NO,NO,NO,YES,YES,PRESERVE_EVIDENCE_HOLD
artifacts/fnd01_regression_validation.json,Historical validation evidence,FND-01 regression review,2026-08-13T02:16:48.785Z,August local design validation,YES,YES,YES,YES,PARTIAL,YES,NO,PARTIAL,YES,SUPERSEDED_HISTORICAL
artifacts/fnd01_relationship_intelligence_boundary.json,Platform boundary,Relationship signals and prohibited automation,2026-08-13T02:16:48.785Z,Mixed Foundation and enterprise platform design,YES,NO,YES,YES,NO,NO,NO,PARTIAL,YES,DEPENDENCY_ONLY
